MediaSource,CampaignID,Country,Cost
MediaSource1,19560308588,MD,"6,359328"
MediaSource1,19560305480,NR,"0,085413"
MediaSource1,19560308588,BE,"28,242458"
MediaSource1,19560305480,ML,"1,037797"
MediaSource1,19560308588,NZ,"27,384433"
MediaSource1,19560305480,BM,"0,095196"
MediaSource1,19560305480,PR,"14,683203"
MediaSource1,19560305480,LI,"0,000663"
MediaSource1,19560305480,CH,"19,362847"
MediaSource1,19560305480,KM,"0,047379"
MediaSource1,19560308588,MU,"0,713364"
MediaSource1,19560305480,NC,"2,101475"
MediaSource1,19560305480,CW,"0,183727"
MediaSource1,19560308588,DJ,"0,041798"
MediaSource1,19560305480,PM,"0,11099"
MediaSource1,19560305480,LV,"16,469726"
MediaSource1,19560305480,BR,"385,000757"
MediaSource1,19560308588,NE,"0,074646"
MediaSource1,19560308588,VU,"0,009364"
MediaSource1,19560308588,AD,"0,073229"
MediaSource1,19560305480,MS,"0,020998"
MediaSource1,19560308588,YT,"0,064184"
MediaSource1,19560308588,UZ,"3,322457"
MediaSource1,19560305480,KR,"170,302403"
MediaSource1,19560308588,GE,"9,921494"
MediaSource1,19560308588,CN,"15,166975"
MediaSource1,19560305480,SB,"0,011271"
MediaSource1,19560308588,PT,"22,82725"
MediaSource2,lQX9cNlleNjAtuzw,US,"12260,1995"
